日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
2025-12-06,USD,本行買入,30.83500,31.16000,31.17200,31.11700,31.04800,30.98500,30.91800,30.84800,30.78700,本行賣出,31.50500,31.31000,31.27600,31.22500,31.16600,31.11100,31.05100,30.99100,30.93400,
2025-12-06,HKD,本行買入,3.85700,3.97800,3.98100,3.97600,3.97100,3.96600,3.96000,3.95400,3.94700,本行賣出,4.06100,4.04800,4.04100,4.03800,4.03300,4.02900,4.02400,4.01900,4.01400,
2025-12-06,GBP,本行買入,40.45000,41.34500,41.48200,41.40500,41.31700,41.23600,41.14600,41.05600,40.96600,本行賣出,42.57000,41.97500,41.89800,41.85300,41.76500,41.68700,41.61100,41.53500,41.45900,
2025-12-06,AUD,本行買入,20.36000,20.57500,20.57200,20.53600,20.49400,20.45600,20.41200,20.36700,20.32100,本行賣出,21.14000,20.92000,20.78200,20.76500,20.72500,20.68700,20.65100,20.61200,20.57400,
2025-12-06,CAD,本行買入,22.12000,22.45000,22.29400,22.28100,22.26500,22.25000,22.23000,22.20900,22.18900,本行賣出,23.03000,22.78000,22.49800,22.49500,22.48100,22.46600,22.45400,22.44300,22.43100,
2025-12-06,SGD,本行買入,23.53000,24.00000,24.02600,24.01900,24.01900,24.02000,24.01300,24.00700,24.00100,本行賣出,24.44000,24.22000,24.21500,24.22500,24.22800,24.22800,24.23200,24.23500,24.23900,
2025-12-06,CHF,本行買入,38.02000,38.63000,38.80000,38.83900,38.87600,38.91800,38.95700,38.99800,39.03800,本行賣出,39.22000,39.02000,39.05900,39.11600,39.15400,39.19700,39.25300,39.30900,39.36600,
2025-12-06,JPY,本行買入,0.19190,0.19870,0.20010,0.20020,0.20030,0.20040,0.20050,0.20060,0.20060,本行賣出,0.20470,0.20370,0.20420,0.20440,0.20460,0.20470,0.20490,0.20500,0.20520,
2025-12-06,ZAR,本行買入,0.00000,1.80100,1.80000,1.79400,1.78500,1.77800,1.77000,1.76200,1.75400,本行賣出,0.00000,1.89100,1.88100,1.87600,1.86800,1.86100,1.85300,1.84600,1.83800,
2025-12-06,SEK,本行買入,0.00000,3.27000,3.26900,3.26700,3.26600,3.26400,3.26200,3.26000,3.25700,本行賣出,0.00000,3.39000,3.37000,3.37100,3.37000,3.36900,3.36800,3.36700,3.36500,
2025-12-06,NZD,本行買入,17.56000,17.89000,17.93100,17.91400,17.89600,17.88100,17.86200,17.84300,17.82400,本行賣出,18.41000,18.19000,18.14000,18.13900,18.12200,18.10800,18.09500,18.08200,18.06900,
2025-12-06,THB,本行買入,0.85150,0.96190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04150,1.00790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-06,PHP,本行買入,0.46410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-06,IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-06,EUR,本行買入,35.56000,36.07500,36.23000,36.21000,36.18600,36.16600,36.13900,36.11100,36.06700,本行賣出,36.90000,36.67500,36.63800,36.63400,36.61600,36.60300,36.58900,36.57500,36.56000,
2025-12-06,KRW,本行買入,0.01946,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02336,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-06,VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-06,MYR,本行買入,6.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.09700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-06,CNY,本行買入,4.32300,4.39000,4.39410,4.39220,4.39110,4.39000,4.38780,4.38490,4.38330,本行賣出,4.48500,4.45000,4.44540,4.44630,4.44570,4.44470,4.44400,4.44330,4.44260,
2025-12-12,美金 (USD),30.755,31.425
2025-12-12,港幣 (HKD),3.847,4.051
2025-12-12,英鎊 (GBP),40.48,42.6
2025-12-12,澳幣 (AUD),20.35,21.13
2025-12-12,加拿大幣 (CAD),22.15,23.06
2025-12-12,新加坡幣 (SGD),23.54,24.45
2025-12-12,瑞士法郎 (CHF),38.37,39.57
2025-12-12,日圓 (JPY),0.1908,0.2036
2025-12-12,南非幣 (ZAR),0.0,0.0
2025-12-12,瑞典幣 (SEK),0.0,0.0
2025-12-12,紐元 (NZD),17.61,18.46
2025-12-12,泰幣 (THB),0.8586,1.0486
2025-12-12,菲國比索 (PHP),0.4614,0.5934
2025-12-12,印尼幣 (IDR),0.00148,0.00218
2025-12-12,歐元 (EUR),35.76,37.1
2025-12-12,韓元 (KRW),0.01935,0.02325
2025-12-12,越南盾 (VND),0.00094,0.00135
2025-12-12,馬來幣 (MYR),6.572,8.097
2025-12-12,人民幣 (CNY),4.322,4.484
2025-12-20,美金 (USD),30.755,31.425,31.08
2025-12-20,港幣 (HKD),3.847,4.051,3.968
2025-12-20,英鎊 (GBP),40.48,42.6,41.375
2025-12-20,澳幣 (AUD),20.35,21.13,20.565
2025-12-20,加拿大幣 (CAD),22.15,23.06,22.48
2025-12-20,新加坡幣 (SGD),23.54,24.45,24.01
2025-12-20,瑞士法郎 (CHF),38.37,39.57,38.98
2025-12-20,日圓 (JPY),0.1908,0.2036,0.1976
2025-12-20,南非幣 (ZAR),-,-,1.804
2025-12-20,瑞典幣 (SEK),-,-,3.31
2025-12-20,紐元 (NZD),17.61,18.46,17.94
2025-12-20,泰幣 (THB),0.8586,1.0486,0.969
2025-12-20,菲國比索 (PHP),0.4614,0.5934,-
2025-12-20,印尼幣 (IDR),0.00148,0.00218,-
2025-12-20,歐元 (EUR),35.76,37.1,36.275
2025-12-20,韓元 (KRW),0.01935,0.02325,-
2025-12-20,越南盾 (VND),0.00094,0.00135,-
2025-12-20,馬來幣 (MYR),6.572,8.097,-
2025-12-20,人民幣 (CNY),4.322,4.484,4.389
2025-12-25,美金 (USD),30.755,31.425,31.08
2025-12-25,港幣 (HKD),3.847,4.051,3.968
2025-12-25,英鎊 (GBP),40.48,42.6,41.375
2025-12-25,澳幣 (AUD),20.35,21.13,20.565
2025-12-25,加拿大幣 (CAD),22.15,23.06,22.48
2025-12-25,新加坡幣 (SGD),23.54,24.45,24.01
2025-12-25,瑞士法郎 (CHF),38.37,39.57,38.98
2025-12-25,日圓 (JPY),0.1908,0.2036,0.1976
2025-12-25,南非幣 (ZAR),-,-,1.804
2025-12-25,瑞典幣 (SEK),-,-,3.31
2025-12-25,紐元 (NZD),17.61,18.46,17.94
2025-12-25,泰幣 (THB),0.8586,1.0486,0.969
2025-12-25,菲國比索 (PHP),0.4614,0.5934,-
2025-12-25,印尼幣 (IDR),0.00148,0.00218,-
2025-12-25,歐元 (EUR),35.76,37.1,36.275
2025-12-25,韓元 (KRW),0.01935,0.02325,-
2025-12-25,越南盾 (VND),0.00094,0.00135,-
2025-12-25,馬來幣 (MYR),6.572,8.097,-
2025-12-25,人民幣 (CNY),4.322,4.484,4.389
2025-12-28,USD,本行買入,31.13000,31.45500,31.46600,31.40800,31.34100,31.27700,31.21400,31.15200,31.09100,本行賣出,31.80000,31.60500,31.57000,31.51700,31.46000,31.40300,31.34700,31.29300,31.23800,
2025-12-28,HKD,本行買入,3.89600,4.01700,4.02000,4.01500,4.01000,4.00500,3.99900,3.99300,3.98600,本行賣出,4.10000,4.08700,4.08000,4.07700,4.07200,4.06800,4.06300,4.05800,4.05300,
2025-12-28,GBP,本行買入,40.99000,41.88500,41.93200,41.85500,41.76700,41.68600,41.59600,41.50600,41.41600,本行賣出,43.11000,42.51500,42.34800,42.30300,42.21500,42.13700,42.06100,41.98500,41.90900,
2025-12-28,AUD,本行買入,20.46000,20.67500,20.70200,20.66600,20.62400,20.58600,20.54200,20.49700,20.45100,本行賣出,21.24000,21.02000,20.91200,20.89500,20.85500,20.81700,20.78100,20.74200,20.70400,
2025-12-28,CAD,本行買入,22.36000,22.69000,22.76400,22.75100,22.73500,22.72000,22.70000,22.67900,22.65900,本行賣出,23.27000,23.02000,22.96800,22.96500,22.95100,22.93600,22.92400,22.91300,22.90100,
2025-12-28,SGD,本行買入,23.81000,24.28000,24.30600,24.29900,24.29900,24.30000,24.29300,24.28700,24.28100,本行賣出,24.72000,24.50000,24.49500,24.50500,24.50800,24.50800,24.51200,24.51500,24.51900,
2025-12-28,CHF,本行買入,38.83000,39.44000,39.51000,39.54900,39.58600,39.62800,39.66700,39.70800,39.74800,本行賣出,40.03000,39.83000,39.76900,39.82600,39.86400,39.90700,39.96300,40.01900,40.07600,
2025-12-28,JPY,本行買入,0.19070,0.19750,0.19910,0.19920,0.19930,0.19940,0.19950,0.19950,0.19960,本行賣出,0.20350,0.20250,0.20320,0.20340,0.20350,0.20370,0.20380,0.20400,0.20420,
2025-12-28,ZAR,本行買入,0.00000,1.83500,1.83700,1.83100,1.82200,1.81500,1.80700,1.79900,1.79100,本行賣出,0.00000,1.92500,1.91800,1.91300,1.90500,1.89800,1.89000,1.88300,1.87500,
2025-12-28,SEK,本行買入,0.00000,3.35000,3.33900,3.33700,3.33600,3.33400,3.33200,3.33000,3.32700,本行賣出,0.00000,3.47000,3.44000,3.44100,3.44000,3.43900,3.43800,3.43700,3.43500,
2025-12-28,NZD,本行買入,17.68000,18.01000,18.02100,18.00400,17.98600,17.97100,17.95200,17.93300,17.91400,本行賣出,18.53000,18.31000,18.23000,18.22900,18.21200,18.19800,18.18500,18.17200,18.15900,
2025-12-28,THB,本行買入,0.87510,0.98550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.06510,1.03150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,PHP,本行買入,0.47180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,IDR,本行買入,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,EUR,本行買入,36.12000,36.63500,36.71800,36.69300,36.66800,36.65200,36.62100,36.59000,36.54100,本行賣出,37.46000,37.23500,37.12700,37.12200,37.10300,37.09100,37.07700,37.06300,37.04900,
2025-12-28,KRW,本行買入,0.01963,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02353,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,MYR,本行買入,6.70800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.23300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,CNY,本行買入,4.38700,4.45400,4.45520,4.45370,4.45330,4.45260,4.45020,4.44730,4.44540,本行賣出,4.54900,4.51400,4.50610,4.50620,4.50590,4.50500,4.50460,4.50430,4.50390,
2026-01-03,美金 (USD),30.755,31.425,31.08
2026-01-03,港幣 (HKD),3.847,4.051,3.968
2026-01-03,英鎊 (GBP),40.48,42.6,41.375
2026-01-03,澳幣 (AUD),20.35,21.13,20.565
2026-01-03,加拿大幣 (CAD),22.15,23.06,22.48
2026-01-03,新加坡幣 (SGD),23.54,24.45,24.01
2026-01-03,瑞士法郎 (CHF),38.37,39.57,38.98
2026-01-03,日圓 (JPY),0.1908,0.2036,0.1976
2026-01-03,南非幣 (ZAR),-,-,1.804
2026-01-03,瑞典幣 (SEK),-,-,3.31
2026-01-03,紐元 (NZD),17.61,18.46,17.94
2026-01-03,泰幣 (THB),0.8586,1.0486,0.969
2026-01-03,菲國比索 (PHP),0.4614,0.5934,-
2026-01-03,印尼幣 (IDR),0.00148,0.00218,-
2026-01-03,歐元 (EUR),35.76,37.1,36.275
2026-01-03,韓元 (KRW),0.01935,0.02325,-
2026-01-03,越南盾 (VND),0.00094,0.00135,-
2026-01-03,馬來幣 (MYR),6.572,8.097,-
2026-01-03,人民幣 (CNY),4.322,4.484,4.389
