job_id,jobName,custName,salaryDesc,jobAddr,appearDate,applyCnt,link
11944239,技術及應用工程師 Technical &amp; Application Engineer(桃園),德商Beckhoff_倍福自動化有限公司,"月薪70,000元以上",桃園市中壢區,20260108,00006,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7408f?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/7408f?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/1a2x6bkht0?jobsource=hotjob_chr'}"
14821050,【雲端系統部】Python工程師 (八德),昇銳智慧科技股份有限公司,待遇面議,桃園市八德區,20260107,00002,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8tnzu?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8tnzu?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/adse7nk?jobsource=joblist_search'}"
11337805,"軟體工程師(C#, C++, Python)",健研科技有限公司,待遇面議,桃園市蘆竹區,20260109,00006,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6r0b1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6r0b1?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/12w7glg0?jobsource=joblist_search'}"
14987106,[Server]軟體工程師(桃園),Inventec_英業達股份有限公司,待遇面議,桃園市桃園區,20260106,00005,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8x84i?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8x84i?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1zh8g1c?jobsource=joblist_search'}"
14860384,[研發部] AI Agent 開發工程師,盛晶科技股份有限公司,待遇面議,桃園市桃園區,20251029,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8uicg?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8uicg?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/7ncn3y8?jobsource=joblist_search'}"
13070058,軟體助理工程師 (桃園市中壢區),盈吉資訊有限公司,待遇面議,桃園市中壢區,20260110,00006,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7s4x6?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7s4x6?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bj2am?jobsource=joblist_search'}"
14784486,智慧工廠數位孿生工程師(工業工程系統3D模擬),華新麗華股份有限公司,待遇面議,桃園市楊梅區,20260105,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8svs6?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8svs6?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/g9nifhc?jobsource=joblist_search'}"
11912708,軟體工程師  (桃園市中壢區),盈吉資訊有限公司,待遇面議,桃園市中壢區,20260109,00004,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/73bwk?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/73bwk?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bj2am?jobsource=joblist_search'}"
14678061,AI 應用工程師,全球儀器科技股份有限公司,待遇面議,桃園市桃園區,20251229,00005,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qlnx?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qlnx?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/b7ggqsg?jobsource=joblist_search'}"
14646913,系統分析師 數據工程師,智遊旅程股份有限公司,"月薪60,000元以上",桃園市中壢區,20260109,0,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pxmp?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8pxmp?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6blts4?jobsource=joblist_search'}"
14049553,IoT開發工程師,錸特霖科技股份有限公司,"月薪40,000~55,000元",桃園市龜山區,20260105,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8d4pd?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8d4pd?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bkdov?jobsource=joblist_search'}"
12037366,【數位技術】智慧製造系統開發工程師(CIM/MES)-龍潭廠-R08,友達光電股份有限公司,待遇面議,桃園市龍潭區,20260109,00005,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7603a?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7603a?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/12nokxe8?jobsource=joblist_search'}"
13102308,軟體開發工程師(H-2025023),信通交通器材股份有限公司,待遇面議,桃園市龍潭區,20251231,00001,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7stt0?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7stt0?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/59g68g0?jobsource=joblist_search'}"
14926275,軟體工程師,弘凱光電股份有限公司,待遇面議,桃園市桃園區,20260106,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8vx6r?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8vx6r?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct1kn8w?jobsource=joblist_search'}"
14734729,AI應用開發工程師(EDA),CHPT_中華精測科技股份有限公司,待遇面議,桃園市平鎮區,20260105,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8rte1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8rte1?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct2ibfs?jobsource=joblist_search'}"
13017676,軟體測試工程師,樺康智雲股份有限公司,"月薪35,000~55,000元",桃園市中壢區,20251210,00004,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7r0i4?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7r0i4?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bm4ln?jobsource=joblist_search'}"
14646907,全端工程師,智遊旅程股份有限公司,"月薪60,000元以上",桃園市中壢區,20260109,0,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pxmj?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8pxmj?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6blts4?jobsource=joblist_search'}"
14901256,Iot後端工程師,罡聖科技股份有限公司,待遇面議,桃園市桃園區,20260109,00002,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8vdvs?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8vdvs?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bmd23?jobsource=joblist_search'}"
14734694,EDA軟體工程師,CHPT_中華精測科技股份有限公司,待遇面議,桃園市平鎮區,20260105,00001,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8rtd2?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8rtd2?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct2ibfs?jobsource=joblist_search'}"
13510047,軟體應用工程師,艾沙技術股份有限公司,待遇面議,桃園市桃園區,20260104,00002,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/81kf3?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/81kf3?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bjrj8?jobsource=joblist_search'}"
14734708,EDA應用開發工程師,CHPT_中華精測科技股份有限公司,待遇面議,桃園市平鎮區,20260105,00001,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8rtdg?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8rtdg?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct2ibfs?jobsource=joblist_search'}"
